X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
688201.SH,信安世纪,,信息传输、软件和信息技术服务业,49.21489725,1.1893,15.04414245,73.19324446,13.24147392,1.152624468,93.35471213,4.268875982,1.286065704,3.796978498,12.104135,0
688202.SH,美迪西,,科学研究和技术服务业,49.06190948,4.18,24.59287081,44.76371245,0,0,0,0,0,0,0,0
688203.SH,海正生材,,制造业,65.20653962,0.28,4.466705887,13.14651702,24.67807286,1.327634645,64.61571402,3.586463295,3.053275897,3.144188849,33.40560602,0
688205.SH,德科立,,制造业,42.60569903,1.25,7.963409027,31.43518965,11.56104108,1.130723396,95.88615519,8.373228841,5.354546079,6.933446371,-19.63256231,0
688206.SH,概伦电子,,信息传输、软件和信息技术服务业,277.1033179,0.1,2.106678225,89.89303972,13.22665028,1.152427564,59.66912799,9.722974147,8.477988074,9.484465467,56.06611795,0
688207.SH,格灵深瞳,,制造业,-35465.89375,0.19,2.19161708,55.03607845,6.604999898,1.07072113,95.91266288,13.9138948,12.40885469,13.65878064,147.0723622,0
688209.SH,英集芯,,制造业,45.75678341,0.39,13.11066957,44.1504318,0,0,0,0,0,0,0,0
688210.SH,统联精密,,制造业,32.76354463,0.84,8.084155983,38.75873955,27.27471544,1.37503759,69.93197125,3.339358505,2.262705445,2.929000403,106.5926727,0
688211.SH,中科微至,,制造业,31.2074432,-0.9,-3.199100025,22.44648236,35.72971139,1.555928908,89.23700298,2.434447386,0.965745243,1.587312733,-145.8010717,0
688212.SH,澳华内镜,,制造业,194.6218352,0.15,1.631489031,68.89802121,0,0,0,0,0,0,0,0
688213.SH,思特威-W,,制造业,428.5291227,-0.2,-2.438694419,26.36802366,0,0,0,0,0,0,0,0
688215.SH,瑞晟智能,,制造业,89.34219735,0.24,2.176076489,28.14987863,0,0,0,0,0,0,0,0
688216.SH,气派科技,,制造业,1789.561293,-0.55,-6.19351517,15.17621913,50.23724551,2.009535064,79.28153488,0.619971065,0.215051516,0.461184637,-143.5133315,0
688217.SH,睿昂基因,,制造业,47.66490471,0.73,4.433731381,60.30421457,10.29629888,1.114781205,80.80020366,6.931494985,3.268401687,6.332600716,64.46917356,0
688218.SH,江苏北人,,制造业,527.9472195,0.29,3.966097693,17.02675293,0,0,0,0,0,0,0,0
688220.SH,翱捷科技-U,,制造业,-87.09035607,-0.59,-5.756977454,35.71863243,0,0,0,0,0,0,0,0
688221.SH,前沿生物-U,,制造业,-20.9101983,-0.98,-20.37676525,-3.07201445,30.6699709,1.442376432,37.49343219,5.071875956,4.476451489,4.871287697,-34.49123101,0
688222.SH,成都先导,,科学研究和技术服务业,122.4210304,0.06,1.987079945,41.37971841,0,0,0,0,0,0,0,0
688225.SH,亚信安全,,信息传输、软件和信息技术服务业,-100.7921624,0.2367,4.543902282,50.61339455,0,0,0,0,0,0,0,0
688226.SH,威腾电气,,制造业,62.46084818,0.45,7.943215083,18.72020689,0,0,0,0,0,0,0,0
688227.SH,品高股份,,信息传输、软件和信息技术服务业,38.92654102,0.4,3.165969303,45.72181824,0,0,0,0,0,0,0,0
688228.SH,开普云,,信息传输、软件和信息技术服务业,34.05109863,1.46,7.853802565,43.19342972,24.82198532,1.330176122,72.0903938,4.336858819,2.513302519,4.030758884,42.38990066,0
688229.SH,博睿数据,,信息传输、软件和信息技术服务业,-32.26760273,-1.96,-12.17039393,70.76343717,0,0,0,0,0,0,0,0
688230.SH,芯导科技,,制造业,36.61842003,1.42,5.609446712,34.97834141,1.882820061,1.019189504,95.30500752,43.72119967,16.3184133,42.66761433,4.295981129,0
688231.SH,隆达股份,,制造业,78.03579079,0.45,5.790589494,19.62929905,0,0,0,0,0,0,0,0
