X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
19,制造业,38.591,0.59,6.869,16.2248,57.0554,2.3286,75.679,1.222,0.2885,0.931,-44.9675,44.0928
14,房地产业,44.3443,0.1627,12.8816,48.6845,72.9207,3.6929,99.9027,1.1928,0.217,0.3046,-46.031,23.9338
16,信息传输、软件和信息技术服务业,200.4481,0.253428261,1.808236264,32.3173,25.67443152,1.210713043,47.00573587,1.151855435,0.508903261,0.98741413,-25.36979457,73.3802
18,批发和零售业,14.5539,0.340656962,3.740705063,8.7729,25.74873038,1.29166962,34.90411392,0.531965823,0.164368354,0.36404557,-8.744253846,46.5581
17,采矿业,15.739,0.58,11.4356,36.4327,34.85326667,2.0151125,43.39960417,0.7484125,0.361641667,0.611260417,61.24914468,38.8364
17,制造业,20.802,0.57,8.7842,23.1211,51.49,2.0614,94.391,1.2998,0.544,1.0307,34.5905,35.6114
19,制造业,25.4232,1.53,10.0037,38.3592,33.8898,1.5126,46.2815,2.4151,1.6203,2.1369,30.8058,37.27498061
16,制造业,16.8342,0.69,7.0885,35.6267,40.6951,1.6862,66.9941,2.338,0.5002,2.1213,-40.2051,37.27498061
17,制造业,22.316,0.550152756,5.553029823,17.3474,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,54.2019
19,制造业,34.4966,0.12,2.9445,21.6802,43.8244,1.7801,92.3921,1.8472,0.553,1.611,18.3556,55.9821
14,制造业,27.6304,0.550152756,5.553029823,11.9481,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,37.27498061
16,制造业,21.0101,0.25,4.78,11.6435,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,51.2313
18,金融业,80.9011,0.17,7.3574,3.448749091,69.3013,3.2575,4.877415455,0.083532727,0.044989091,0.082946364,-3.9392,27.84231273
11,制造业,-22.1799,0.550152756,5.553029823,33.5063,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,38.8387
15,制造业,16.0147,0.550152756,5.553029823,24.0656,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,76.2437
17,房地产业,-3.1506,0.087504598,-0.53828046,-4.9692,33.96739885,1.995166667,34.68559655,0.905643678,0.192041379,0.31747931,-9.214840476,158.5225
18,水利、环境和公共设施管理业,-46.6077,0.153930952,15.43670238,9.7104,24.47200952,1.182507143,23.99343333,0.609219048,0.277452381,0.567761905,-7.272038095,71.5804
17,制造业,46.8329,0.81,16.54,60.2907,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,38.3377
16,制造业,-33.9889,0.550152756,5.553029823,19.5838,25.26024636,1.136484055,39.8828814,1.056231693,0.437094488,0.814092126,0.924275773,43.0532
16,水利、环境和公共设施管理业,22.4072,0.153930952,15.43670238,35.176,24.47200952,1.182507143,23.99343333,0.609219048,0.277452381,0.567761905,-7.272038095,50.0046
17,批发和零售业,,0.340656962,3.740705063,1.7438,25.74873038,1.29166962,34.90411392,0.531965823,0.164368354,0.36404557,-8.744253846,66.2648
16,建筑业,-29.2681,0.01,0.2727,14.3032,46.5734,1.8717,92.4086,1.6741,0.8024,1.2829,-88.9828,40.4917
10,制造业,35.9519,0.72,11.2598,61.0273,16.105,1.192,68.8787,5.2711,1.6123,4.2211,35.5433,716.6483
19,制造业,24.2508,1.54,11.7132,22.2725,48.4562,1.9401,59.0891,1.9089,0.7024,1.5177,61.1323,37.27498061
19,采矿业,46.6719,0.2,4.0126,13.5421,59.5505,2.4722,64.1564,0.6196,0.3634,0.5015,828.4283,33.7939
