X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
600096.SH,云天化,18,制造业,6.5075,3.2796,45.3100,16.7337,63.5255,2.7416,69.3581,0.8848,0.3175,0.5451,67.4812,47.5406
600116.SH,三峡水利,18,电力、热力、燃气及水生产和供应业,32.6617,0.2500,4.3359,11.9221,48.3240,1.9351,49.9030,0.9088,0.4291,0.8638,-46.1869,93.4824
600123.SH,兰花科创,18,采矿业,4.1149,0,0,53.7135,0,0,0,0,0,0,0,58.0132
600125.SH,铁龙物流,18,交通运输、仓储和邮政业,17.8396,0.2590,5.1518,6.0656,28.8777,1.4060,50.8908,3.2694,1.3888,2.1353,0.7235,52.5388
600138.SH,中青旅,18,租赁和商务服务业,-58.7846,-0.4600,-5.3939,16.7508,53.8688,2.1677,68.9597,0.9379,0.1834,0.6124,"-1,210.3718",69.0325
600141.SH,兴发集团,18,制造业,4.8770,5.3100,34.0858,38.0620,48.7287,1.9504,52.5429,0.8702,0.4497,0.6336,43.5708,52.4235
600143.SH,金发科技,18,制造业,22.7129,0,0,15.1109,0,0,0,0,0,0,0,56.1876
600155.SH,华创阳安,18,金融业,23.2852,0,0,100.6392,0,0,0,0,0,0,0,21.3966
600166.SH,福田汽车,18,制造业,-4.3988,0,0,10.7002,0,0,0,0,0,0,0,44.1228
600168.SH,武汉控股,18,电力、热力、燃气及水生产和供应业,15.5476,0.0100,0.0804,26.0163,73.9549,3.8395,44.8205,0.9760,0.1804,0.9746,-99.1976,55.5701
600183.SH,生益科技,18,制造业,19.8738,0.6600,11.5121,22.4552,39.2904,1.6472,74.5205,1.9293,0.4318,1.3757,-44.2066,53.0983
600195.SH,中牧股份,18,制造业,26.3879,0.5401,10.7758,24.1028,20.1058,1.2517,89.6555,2.2983,0.6117,1.5557,-6.2686,62.9980
600208.SH,新湖中宝,18,房地产业,12.2513,0,0,27.9155,0,0,0,0,0,0,0,27.1556
600210.SH,紫江企业,18,制造业,13.6534,0.3980,10.9127,20.1812,50.9508,2.0388,71.7146,1.4831,0.3816,0.9627,11.8078,53.7802
600233.SH,圆通速递,18,交通运输、仓储和邮政业,17.6301,1.1402,15.9098,11.3680,0,0,0,0,0,0,0,68.5307
600256.SH,广汇能源,18,采矿业,5.5637,1.7268,45.5316,36.1161,53.5352,2.1522,71.6751,0.6881,0.2257,0.6221,130.2402,44.7029
600259.SH,广晟有色,18,采矿业,60.4273,0.7000,8.8299,3.3283,51.3081,2.0537,79.2346,1.3678,0.3390,0.4828,31.8859,109.4780
600267.SH,海正药业,18,制造业,41.4559,0.4200,6.3585,41.1513,55.6383,2.2542,68.2742,0.8985,0.1961,0.6302,-3.7623,49.3210
600268.SH,国电南自,18,制造业,28.9393,0.2200,5.5481,23.4298,60.2638,2.5166,94.7521,1.2752,0.2310,1.0630,-18.8998,76.4351
600271.SH,航天信息,18,制造业,22.5596,0.5800,7.8473,24.1890,25.1615,1.3362,96.4328,2.8275,1.5241,2.5086,-8.1325,58.3543
600282.SH,南钢股份,18,制造业,7.6952,0.3512,8.2407,11.3688,58.8260,2.4287,82.5031,0.8485,0.3742,0.6544,-45.1569,44.2061
600284.SH,浦东建设,18,建筑业,10.2846,0.5849,8.1092,7.8330,73.1774,3.7282,82.8753,1.2058,0.5918,1.1089,6.6293,100.6306
